timestamp,command,numThreads,averageTime
1761490846043,1,1,0.057918978
1761490846188,1,1,5.53757E-4
1761490846294,1,1,8.41951E-4
1761490846419,1,1,8.78995E-4
1761490846544,1,1,8.49415E-4
1761490846669,1,1,7.81845E-4
1761490846795,1,1,0.001886131
1761490846920,1,1,8.67004E-4
1761490847045,1,1,0.001647583
1761490847171,1,1,8.20023E-4
1761490847296,1,1,0.001850383
1761490847421,1,1,0.001870974
1761490847547,1,1,0.001711712
1761490847672,1,1,8.78147E-4
1761490847797,1,1,8.40541E-4
1761490847922,1,1,0.00147601
1761490848048,1,1,0.001823274
1761490848173,1,1,0.00136956
1761490848298,1,1,8.93375E-4
1761490848423,1,1,0.001884419
1761490848549,1,1,9.43052E-4
1761490848674,1,1,0.003612984
1761490848799,1,1,8.46034E-4
1761490848925,1,1,8.88695E-4
1761490849050,1,1,8.24643E-4
1761490849175,1,1,0.003086067
1761490849300,1,1,0.002543474
1761490849426,1,1,8.89391E-4
1761490849551,1,1,8.57051E-4
1761490849676,1,1,0.001830496
1761490849802,2,1,0.035933022
1761490849927,2,1,0.001053997
1761490850052,2,1,9.82158E-4
1761490850177,2,1,0.001103383
1761490850303,2,1,0.001421058
1761490850428,2,1,0.003867534
1761490850553,2,1,0.001465206
1761490850678,2,1,8.48825E-4
1761490850804,2,1,0.002522607
1761490850929,2,1,0.002622144
1761490851054,2,1,9.47349E-4
1761490851180,2,1,9.03448E-4
1761490851305,2,1,0.001074631
1761490851430,2,1,0.001705931
1761490851555,2,1,8.99854E-4
1761490851681,2,1,0.001041902
1761490851806,2,1,7.65615E-4
1761490851931,2,1,0.001364768
1761490852056,2,1,0.002904901
1761490852182,2,1,0.001412923
1761490852307,2,1,0.003319989
1761490852432,2,1,0.00243532
1761490852557,2,1,9.16075E-4
1761490852683,2,1,0.001897518
1761490852808,2,1,0.001354251
1761490852933,2,1,0.001618735
1761490853059,2,1,9.09835E-4
1761490853184,2,1,7.50259E-4
1761490853309,2,1,6.784E-4
1761490853434,2,1,0.001704532
1761490853560,3,1,0.005146333
1761490853685,3,1,9.30634E-4
1761490853810,3,1,0.00219982
1761490853935,3,1,0.003779282
1761490854061,3,1,7.5903E-4
1761490854186,3,1,0.001580773
1761490854311,3,1,7.95575E-4
1761490854437,3,1,8.05843E-4
1761490854562,3,1,8.48794E-4
1761490854687,3,1,0.004220311
1761490854812,3,1,8.13811E-4
1761490854938,3,1,7.93533E-4
1761490855063,3,1,7.73912E-4
1761490855188,3,1,7.41428E-4
1761490855313,3,1,6.90735E-4
1761490855439,3,1,7.62605E-4
1761490855564,3,1,7.81228E-4
1761490855689,3,1,7.91191E-4
1761490855814,3,1,0.001382687
1761490855940,3,1,0.002530768
1761490856065,3,1,0.001535433
1761490856190,3,1,0.00158334
1761490856315,3,1,0.004128469
1761490856441,3,1,0.001714552
1761490856566,3,1,0.005041491
1761490856691,3,1,8.08599E-4
1761490856816,3,1,7.70256E-4
1761490856942,3,1,8.02609E-4
1761490857067,3,1,7.6052E-4
1761490857192,3,1,6.93761E-4
1761490857318,4,1,0.040838722
1761490857443,4,1,0.007336471
1761490857568,4,1,0.006978072
1761490857693,4,1,0.007217027
1761490857819,4,1,0.007081017
1761490857944,4,1,0.00750246
1761490858069,4,1,0.006991995
1761490858194,4,1,0.006789315
1761490858320,4,1,0.011944853
1761490858445,4,1,0.007837148
1761490858571,4,1,0.007454028
1761490858696,4,1,0.007285836
1761490858821,4,1,0.006990423
1761490858946,4,1,0.008527721
1761490859072,4,1,0.006989553
1761490859197,4,1,0.006798584
1761490859322,4,1,0.006890021
1761490859447,4,1,0.007650013
1761490859573,4,1,0.011883632
1761490859698,4,1,0.007694517
1761490859823,4,1,0.016158539
1761490859948,4,1,0.012278107
1761490860074,4,1,0.007088553
1761490860199,4,1,0.009109968
1761490860324,4,1,0.007317219
1761490860450,4,1,0.007068333
1761490860575,4,1,0.006770518
1761490860700,4,1,0.006814576
1761490860825,4,1,0.00298439
1761490860950,4,1,0.006854647
1761490861076,5,1,0.015719937
1761490861201,5,1,0.014503665
1761490861326,5,1,0.015279073
1761490861451,5,1,0.020987343
1761490861576,5,1,0.014713828
1761490861702,5,1,0.013608065
1761490861827,5,1,0.01465319
1761490861952,5,1,0.015482936
1761490862077,5,1,0.018440717
1761490862203,5,1,0.015701015
1761490862328,5,1,0.014502164
1761490862453,5,1,0.014022644
1761490862578,5,1,0.01464031
1761490862703,5,1,0.01389826
1761490862829,5,1,0.015581328
1761490862954,5,1,0.013952984
1761490863079,5,1,0.015010093
1761490863205,5,1,0.014077676
1761490863330,5,1,0.013955418
1761490863455,5,1,0.014870533
1761490863580,5,1,0.013647502
1761490863706,5,1,0.013296424
1761490863831,5,1,0.014114316
1761490863956,5,1,0.014014934
1761490864081,5,1,0.01545669
1761490864207,5,1,0.013851126
1761490864332,5,1,0.014960843
1761490864457,5,1,0.014143794
1761490864583,5,1,0.014235881
1761490864708,5,1,0.014839612
1761490864833,6,1,0.021765442
1761490864958,6,1,0.02052973
1761490865083,6,1,0.019664671
1761490865209,6,1,0.020003991
1761490865334,6,1,0.019126517
1761490865459,6,1,0.019890198
1761490865584,6,1,0.019742396
1761490865710,6,1,0.019354584
1761490865835,6,1,0.02046544
1761490865960,6,1,0.019246831
1761490866085,6,1,0.020320393
1761490866211,6,1,0.020029278
1761490866336,6,1,0.014031939
1761490866461,6,1,0.020398642
1761490866587,6,1,0.018833898
1761490866712,6,1,0.019879949
1761490866837,6,1,0.01774931
1761490866962,6,1,0.020375171
1761490867088,6,1,0.020798428
1761490867213,6,1,0.02035892
1761490867338,6,1,0.022757922
1761490867463,6,1,0.021485481
1761490867589,6,1,0.020015219
1761490867714,6,1,0.02098594
1761490867839,6,1,0.019581915
1761490867964,6,1,0.023777772
1761490868090,6,1,0.021483397
1761490868215,6,1,0.019012703
1761490868340,6,1,0.019583428
1761490868466,6,1,0.019836664
1761490868865,1,2,0.002325303
1761490868990,1,2,8.676495E-4
1761490869116,1,2,0.002390043
1761490869241,1,2,8.38175E-4
1761490869366,1,2,0.00308772
1761490869491,1,2,0.0030565205
1761490869617,1,2,0.001359277
1761490869742,1,2,0.001298023
1761490869867,1,2,8.088035E-4
1761490869993,1,2,7.65597E-4
1761490870118,1,2,0.00207248
1761490870243,1,2,8.211875E-4
1761490870369,1,2,7.95644E-4
1761490870494,1,2,0.0010002865
1761490870619,1,2,7.823375E-4
1761490870744,1,2,0.001268837
1761490870870,1,2,0.002835186
1761490870995,1,2,0.0018997545
1761490871120,1,2,8.02514E-4
1761490871245,1,2,7.459005E-4
1761490871370,1,2,0.0011493915
1761490871496,1,2,0.00162304
1761490871621,1,2,0.0017235465
1761490871746,1,2,0.0014526135
1761490871872,1,2,0.0032257905
1761490871997,1,2,0.0024733145
1761490872122,1,2,7.83952E-4
1761490872247,1,2,0.0029430105
1761490872373,1,2,0.002070354
1761490872498,1,2,0.0010940495
1761490872623,2,2,0.001155229
1761490872748,2,2,0.0029297445
1761490872874,2,2,0.0011327145
1761490872999,2,2,0.00207778
1761490873124,2,2,8.980155E-4
1761490873249,2,2,0.0039594855
1761490873375,2,2,8.438595E-4
1761490873500,2,2,0.0016024345
1761490873625,2,2,9.60695E-4
1761490873750,2,2,8.311905E-4
1761490873876,2,2,9.252585E-4
1761490874001,2,2,0.002584783
1761490874128,2,2,9.964395E-4
1761490874254,2,2,9.251145E-4
1761490874379,2,2,0.001280743
1761490874504,2,2,0.0011490185
1761490874629,2,2,0.001267952
1761490874755,2,2,0.002858013
1761490874880,2,2,7.580805E-4
1761490875005,2,2,5.61796E-4
1761490875131,2,2,0.0014543345
1761490875256,2,2,0.003734244
1761490875381,2,2,9.415275E-4
1761490875506,2,2,9.58806E-4
1761490875632,2,2,9.654955E-4
1761490875758,2,2,0.0014933415
1761490875882,2,2,0.004502373
1761490876008,2,2,0.004524761
1761490876133,2,2,0.0010609625
1761490876258,2,2,0.0035360445
1761490876383,3,2,0.001689314
1761490876510,3,2,9.45241E-4
1761490876634,3,2,7.37601E-4
1761490876759,3,2,0.001099336
1761490876885,3,2,0.0053737845
1761490877010,3,2,6.69139E-4
1761490877135,3,2,8.541745E-4
1761490877260,3,2,7.727255E-4
1761490877386,3,2,0.00273214
1761490877511,3,2,0.0013660375
1761490877636,3,2,8.13496E-4
1761490877761,3,2,6.93396E-4
1761490877886,3,2,7.66365E-4
1761490878012,3,2,7.465285E-4
1761490878137,3,2,8.748175E-4
1761490878262,3,2,6.731955E-4
1761490878388,3,2,8.55921E-4
1761490878513,3,2,8.324165E-4
1761490878638,3,2,7.141205E-4
1761490878763,3,2,7.69405E-4
1761490878889,3,2,6.74218E-4
1761490879014,3,2,6.545375E-4
1761490879139,3,2,7.095945E-4
1761490879264,3,2,5.751925E-4
1761490879390,3,2,0.0015683925
1761490879515,3,2,9.19367E-4
1761490879640,3,2,9.038825E-4
1761490879765,3,2,8.604345E-4
1761490879891,3,2,9.29026E-4
1761490880016,3,2,9.26113E-4
1761490880141,4,2,0.009885585
1761490880267,4,2,0.0102553655
1761490880392,4,2,0.0097676695
1761490880517,4,2,0.0090063705
1761490880642,4,2,0.010943229
1761490880768,4,2,0.010057337
1761490880893,4,2,0.013527071
1761490881018,4,2,0.0099263085
1761490881143,4,2,0.0094216165
1761490881269,4,2,0.0104788245
1761490881394,4,2,0.012342831
1761490881519,4,2,0.014813539
1761490881644,4,2,0.0093446185
1761490881770,4,2,0.007577502
1761490881895,4,2,0.0104876565
1761490882020,4,2,0.0147414575
1761490882145,4,2,0.0106039915
1761490882271,4,2,0.0099145545
1761490882396,4,2,0.0131131775
1761490882521,4,2,0.0104697005
1761490882646,4,2,0.0098497995
1761490882772,4,2,0.010233059
1761490882897,4,2,0.0089968705
